checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_risk
1,1.494888525274221,3,2,2.2417847909560464,4,3,0.052280634896496016,3,2,1.053413018870969,3,1.088219058948795,1,0,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,-0.7824946124917905,3,7,-1.019123858816805,2,3,0.9421637820708985,3,2,1.053413018870969,1,0.25504410951968803,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,1.494888525274221,1,5,1.0848293512791014,2,0,0.052280634896496016,3,1,-0.7472929962930807,0,-0.670705834290431,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
0,1.494888525274221,0,3,0.44862191025820214,4,2,0.052280634896496016,0,2,-0.7472929962930807,3,-0.578130839909419,0,1,-0.7187454693270836,2,-0.4364357804719845,0,1,0
0,2.064234309715724,3,1,2.2417847909560464,4,1,-1.727485659452309,0,2,-0.7472929962930807,1,-1.0410058118144785,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,0.3561969563912153,1,2,-0.30874596304980534,2,1,0.9421637820708985,3,2,0.15306001128894414,1,-0.022680873623347676,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
0,-0.023366899903120002,3,2,1.5902019528720968,4,4,-1.727485659452309,1,2,1.053413018870969,2,2.29169398590195,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,0
3,-0.7824946124917905,1,4,-1.0665745224121363,2,0,0.9421637820708985,3,2,-0.7472929962930807,1,-0.3004058567663834,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
0,2.064234309715724,0,1,2.2417847909560464,4,4,0.9421637820708985,3,0,1.053413018870969,3,0.06989412075766421,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,0
0,-0.7824946124917905,3,1,-1.0043819050784497,0,2,0.9421637820708985,0,2,-0.7472929962930807,0,-1.1335808061954904,0,1,-0.7187454693270836,3,-0.4364357804719845,0,1,1
3,0.3561969563912153,1,7,-0.20186679844672883,3,3,-0.8376025122779064,3,2,-0.7472929962930807,1,-0.11525586800435958,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
0,0.9255427408327181,1,1,0.567939598328016,2,4,0.9421637820708985,2,2,-0.7472929962930807,1,-0.670705834290431,1,1,1.045047093438766,0,-0.4364357804719845,0,1,1
3,1.494888525274221,3,7,0.37721557183804333,4,3,-0.8376025122779064,0,2,1.053413018870969,2,0.9030690701867713,1,1,-0.7187454693270836,3,-0.4364357804719845,1,1,0
0,-0.7824946124917905,4,9,-0.7399481098967001,2,0,-0.8376025122779064,3,2,-0.7472929962930807,2,-0.3929808511473953,1,1,-0.7187454693270836,3,-0.4364357804719845,1,1,0
1,-0.21314882805028765,3,5,0.2919886517881763,2,2,-1.727485659452309,0,2,1.053413018870969,1,-1.2261558005765023,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,0
0,-0.4978217202710391,3,8,-0.6920367602470451,0,0,0.9421637820708985,3,1,-0.7472929962930807,2,-1.2261558005765023,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.07152406417046382,3,7,-0.1889675889256679,2,2,0.9421637820708985,0,2,1.053413018870969,0,-0.670705834290431,1,2,-0.7187454693270836,0,-0.4364357804719845,1,1,0
1,0.3561969563912153,3,5,-0.584696909589645,2,2,0.9421637820708985,3,0,-1.6476460038751053,0,-1.0410058118144785,1,1,-0.7187454693270836,3,-0.4364357804719845,0,0,0
